"date","close","high","low","open"
"2021-01-22T17:15:00.000Z",1906.24,1906.505,1905.85,1906.47
"2021-01-22T17:16:00.000Z",1908,1908,1906.595,1906.595
"2021-01-22T17:17:00.000Z",1909.045,1909.23,1908.86,1909.08
"2021-01-22T17:18:00.000Z",1909.91,1910.39,1909.105,1909.105
"2021-01-22T17:19:00.000Z",1910.105,1910.105,1909.79,1909.79
"2021-01-22T17:20:00.000Z",1908.91,1909.58,1908.91,1909.58
"2021-01-22T17:21:00.000Z",1908.91,1908.91,1908.91,1908.91
"2021-01-22T17:22:00.000Z",1907.78,1907.78,1906.99,1906.99
"2021-01-22T17:23:00.000Z",1907.085,1907.775,1907.085,1907.775
"2021-01-22T17:24:00.000Z",1908.17,1908.215,1907.46,1907.46
"2021-01-22T17:25:00.000Z",1908.305,1908.305,1907.895,1907.895
"2021-01-22T17:26:00.000Z",1907.605,1908.805,1907.605,1908.805
"2021-01-22T17:27:00.000Z",1908.75,1909.29,1908.32,1908.32
"2021-01-22T17:28:00.000Z",1907.66,1908.46,1907.66,1908.46
"2021-01-22T17:29:00.000Z",1907.55,1907.55,1907.55,1907.55
"2021-01-22T17:30:00.000Z",1907.55,1907.55,1907.55,1907.55
"2021-01-22T17:31:00.000Z",1906.35,1906.35,1906.35,1906.35
"2021-01-22T17:32:00.000Z",1906.31,1906.32,1906.31,1906.32
"2021-01-22T17:33:00.000Z",1905,1906.16,1904.53,1906.16
"2021-01-22T17:34:00.000Z",1905.045,1905.495,1905.045,1905.495
"2021-01-22T17:35:00.000Z",1905.41,1905.41,1905.11,1905.4
"2021-01-22T17:36:00.000Z",1906.005,1906.005,1905.24,1905.46
"2021-01-22T17:37:00.000Z",1905.95,1906.32,1905.875,1905.915
"2021-01-22T17:38:00.000Z",1906.17,1906.17,1905.705,1905.705
"2021-01-22T17:39:00.000Z",1906.17,1906.17,1906.17,1906.17
"2021-01-22T17:40:00.000Z",1905.4,1905.52,1905.395,1905.52
"2021-01-22T17:41:00.000Z",1907.24,1907.27,1905.795,1905.795
"2021-01-22T17:42:00.000Z",1907.24,1907.24,1907.24,1907.24
"2021-01-22T17:43:00.000Z",1907.235,1907.235,1906.88,1907.23
"2021-01-22T17:44:00.000Z",1907.34,1907.34,1906.81,1906.81
"2021-01-22T17:45:00.000Z",1908.01,1908.035,1907.25,1907.31
"2021-01-22T17:46:00.000Z",1908.26,1908.26,1908.26,1908.26
"2021-01-22T17:47:00.000Z",1907.75,1908.32,1907.68,1907.68
"2021-01-22T17:48:00.000Z",1907.75,1907.75,1907.75,1907.75
"2021-01-22T17:49:00.000Z",1907.68,1907.81,1907.56,1907.56
"2021-01-22T17:50:00.000Z",1907.68,1907.68,1907.15,1907.15
"2021-01-22T17:51:00.000Z",1908.3,1908.3,1907.78,1907.78
"2021-01-22T17:52:00.000Z",1907.68,1907.68,1907.245,1907.245
"2021-01-22T17:53:00.000Z",1907.68,1907.68,1907.68,1907.68
"2021-01-22T17:54:00.000Z",1906.19,1907.45,1905.99,1907.45
"2021-01-22T17:55:00.000Z",1904.655,1906.09,1904.655,1906.04
"2021-01-22T17:56:00.000Z",1905.47,1905.49,1904.97,1904.97
"2021-01-22T17:57:00.000Z",1904.565,1905.46,1904.55,1905.46
"2021-01-22T17:58:00.000Z",1905.235,1905.235,1904.21,1904.4
"2021-01-22T17:59:00.000Z",1905.35,1905.35,1904.755,1904.755
"2021-01-22T18:00:00.000Z",1904.73,1904.96,1904.21,1904.96
"2021-01-22T18:01:00.000Z",1906.3,1906.3,1904.73,1904.73
"2021-01-22T18:02:00.000Z",1906.485,1906.485,1906.485,1906.485
"2021-01-22T18:03:00.000Z",1906.73,1906.735,1905.93,1905.93
"2021-01-22T18:04:00.000Z",1906.36,1906.36,1906.3,1906.3
"2021-01-22T18:05:00.000Z",1905.66,1906.015,1905.66,1906.015
"2021-01-22T18:06:00.000Z",1904.47,1904.92,1904.235,1904.64
"2021-01-22T18:07:00.000Z",1904.06,1904.245,1903.97,1904.245
"2021-01-22T18:08:00.000Z",1902.36,1902.89,1902.105,1902.82
"2021-01-22T18:09:00.000Z",1901.915,1902.565,1901.915,1902.565
"2021-01-22T18:10:00.000Z",1901.42,1901.915,1901.41,1901.915
"2021-01-22T18:11:00.000Z",1902.155,1902.155,1901.46,1901.76
"2021-01-22T18:12:00.000Z",1902.32,1902.88,1902.155,1902.155
"2021-01-22T18:13:00.000Z",1902.32,1902.32,1902.32,1902.32
"2021-01-22T18:14:00.000Z",1903.255,1903.255,1902.605,1902.85
"2021-01-22T18:15:00.000Z",1903.07,1903.09,1902.63,1903.09
"2021-01-22T18:16:00.000Z",1902.63,1902.63,1902.47,1902.47
"2021-01-22T18:17:00.000Z",1901.81,1901.81,1901.65,1901.65
"2021-01-22T18:18:00.000Z",1901.73,1902.245,1901.6,1902.245
"2021-01-22T18:19:00.000Z",1901.47,1901.58,1901.35,1901.35
"2021-01-22T18:20:00.000Z",1901.9,1901.9,1901.9,1901.9
"2021-01-22T18:21:00.000Z",1902.01,1902.155,1901.86,1902.155
"2021-01-22T18:22:00.000Z",1903.06,1903.315,1903.06,1903.315
"2021-01-22T18:23:00.000Z",1903.06,1903.53,1903.06,1903.53
"2021-01-22T18:24:00.000Z",1903.645,1903.75,1903.645,1903.75
"2021-01-22T18:25:00.000Z",1904.395,1904.395,1903.18,1903.18
"2021-01-22T18:26:00.000Z",1904.665,1904.665,1904.56,1904.56
"2021-01-22T18:27:00.000Z",1905.1,1905.38,1905.1,1905.145
"2021-01-22T18:28:00.000Z",1905.01,1905.23,1905.01,1905.23
"2021-01-22T18:29:00.000Z",1904.57,1904.57,1903.96,1904.165
"2021-01-22T18:30:00.000Z",1902.58,1904.085,1902.58,1903.81
"2021-01-22T18:31:00.000Z",1902.58,1902.58,1902.58,1902.58
"2021-01-22T18:32:00.000Z",1902.56,1902.56,1902.56,1902.56
"2021-01-22T18:33:00.000Z",1903.37,1903.37,1903.37,1903.37
"2021-01-22T18:34:00.000Z",1903.52,1903.52,1903.375,1903.375
"2021-01-22T18:35:00.000Z",1904.62,1904.62,1903.365,1903.97
"2021-01-22T18:36:00.000Z",1905.29,1905.48,1905.29,1905.48
"2021-01-22T18:37:00.000Z",1908.095,1908.34,1905.15,1905.15
"2021-01-22T18:38:00.000Z",1908.02,1908.02,1907.785,1907.785
"2021-01-22T18:39:00.000Z",1908.195,1908.195,1908.08,1908.115
"2021-01-22T18:40:00.000Z",1908.19,1908.36,1907.45,1908.185
"2021-01-22T18:41:00.000Z",1908.97,1908.99,1908.97,1908.99
"2021-01-22T18:42:00.000Z",1910.01,1910.01,1910.01,1910.01
"2021-01-22T18:43:00.000Z",1909.7,1910,1909.7,1910
"2021-01-22T18:44:00.000Z",1909.7,1909.7,1909.7,1909.7
"2021-01-22T18:45:00.000Z",1907.95,1908.99,1907.92,1908.99
