"date","close","high","low","open"
"2021-01-22T17:15:00.000Z",573.59,573.84,573.47,573.79
"2021-01-22T17:16:00.000Z",573.645,573.645,573.415,573.415
"2021-01-22T17:17:00.000Z",573.62,573.72,573.485,573.72
"2021-01-22T17:18:00.000Z",573.37,573.37,573.23,573.355
"2021-01-22T17:19:00.000Z",572.81,573.4,572.81,573.4
"2021-01-22T17:20:00.000Z",572.73,572.92,572.66,572.92
"2021-01-22T17:21:00.000Z",573.015,573.19,572.645,572.645
"2021-01-22T17:22:00.000Z",573.23,573.32,573.23,573.32
"2021-01-22T17:23:00.000Z",573.26,573.26,573.26,573.26
"2021-01-22T17:24:00.000Z",572.88,573.24,572.82,573.18
"2021-01-22T17:25:00.000Z",572.84,572.95,572.64,572.855
"2021-01-22T17:26:00.000Z",572.87,573.105,572.87,573.105
"2021-01-22T17:27:00.000Z",572.695,572.86,572.54,572.57
"2021-01-22T17:28:00.000Z",572.71,572.81,572.65,572.65
"2021-01-22T17:29:00.000Z",572.33,572.51,572.33,572.51
"2021-01-22T17:30:00.000Z",572.635,572.635,572.355,572.355
"2021-01-22T17:31:00.000Z",572.65,572.985,572.65,572.66
"2021-01-22T17:32:00.000Z",572.585,573.025,572.585,572.74
"2021-01-22T17:33:00.000Z",572.56,572.775,572.56,572.775
"2021-01-22T17:34:00.000Z",572.98,573,572.98,573
"2021-01-22T17:35:00.000Z",573.09,573.15,572.92,572.97
"2021-01-22T17:36:00.000Z",573.32,573.32,573.32,573.32
"2021-01-22T17:37:00.000Z",572.8,573.1,572.61,573.1
"2021-01-22T17:38:00.000Z",573.05,573.05,573.05,573.05
"2021-01-22T17:39:00.000Z",572.79,572.79,572.7,572.7
"2021-01-22T17:40:00.000Z",572.475,572.53,572.475,572.53
"2021-01-22T17:41:00.000Z",572.39,572.39,572.39,572.39
"2021-01-22T17:42:00.000Z",571.86,572.44,571.86,572.44
"2021-01-22T17:43:00.000Z",571.22,571.71,571.17,571.42
"2021-01-22T17:44:00.000Z",571.43,571.43,571.21,571.21
"2021-01-22T17:45:00.000Z",572.04,572.04,571.5,571.5
"2021-01-22T17:46:00.000Z",571.01,571.79,571.01,571.79
"2021-01-22T17:47:00.000Z",571.16,571.16,571.16,571.16
"2021-01-22T17:48:00.000Z",570.77,571.13,570.77,570.95
"2021-01-22T17:49:00.000Z",571.08,571.08,570.455,570.455
"2021-01-22T17:50:00.000Z",571.12,571.285,570.72,570.89
"2021-01-22T17:51:00.000Z",571.39,571.56,571.27,571.27
"2021-01-22T17:52:00.000Z",571.83,571.83,571.57,571.57
"2021-01-22T17:53:00.000Z",571.83,571.83,571.83,571.83
"2021-01-22T17:54:00.000Z",571.67,571.735,571.58,571.73
"2021-01-22T17:55:00.000Z",571.545,571.63,571.48,571.53
"2021-01-22T17:56:00.000Z",571.43,571.61,571.33,571.33
"2021-01-22T17:57:00.000Z",571.32,571.41,571.025,571.41
